"SATD","Sentiment"
"// This is turned off temporarily. There appears to be a bug // in SelectorUtils.matchPattern() where it is recursive on // Windows even if no ** is in pattern. //assertEquals(""FFFTFFFFFFFF"", results); // Unix // vs //assertEquals(""FFFTFFFFTFFF"", results); // Windows","negative"
"// FIXME: Is ""No Namespace is Empty Namespace"" really OK?","negative"
"// FIXME this is actually not very cpu cycles friendly as we are converting from // dos to java while the underlying Sun implementation will convert // from java to dos time for internal storage...","negative"
"// TODO: // A warning line, that shows code, which contains a variable // error will cause some trouble. The parser should definitely // be much better.","negative"
"// Don't try restoring the URL TODO: wy not?","non-negative"
"// TODO display warning dialog as this can take some time","non-negative"
"""/* * TODO: error counting needs to be sorted out. * * At present the Statistical Sampler tracks errors separately * It would make sense to move the error count here, but this would * mean lots of changes. * It's also tricky maintaining the count - it can't just be incremented/decremented * when the success flag is set as this may be done multiple times. * The work-round for now is to do the work in the StatisticalSampleResult, * which overrides this method. * Note that some JMS samplers also create samples with > 1 sample count * Also the Transaction Controller probably needs to be changed to do * proper sample and error accounting. * The purpose of this work-round is to allow at least minimal support for * errors in remote statistical batch mode. * */""","negative"
"""/* * URGENT: TODO - sort out equals and hashCode() - at present equal * instances can/will have different hashcodes - problem is, when a proper * hashcode is used, tests stop working, e.g. listener data disappears when * switching views... This presumably means that instances currently * regarded as equal, aren't really equal. * * @see java.lang.Object#hashCode() */""","negative"
"/* TODO: Why does the next part not work? */","negative"
"// TODO: We don't really want this to be filled, but if it's not then // the user can't double click in the compartment to add a new literal // Apparently GEF thinks unfilled figs are only selectable by border // setFilled(false);","negative"
"// If we are not visible most likely // we're being deleted. // TODO: This indicates a more fundamental problem that // should be investigated - tfm - 20061230","negative"
"// FIXME this is not correct","negative"
"// Bug 124306: we should rely on XMLCalendar to normalize Dave value, to ensure that all Date value // fields are taken into account.","non-negative"
"// is this an error???","negative"
"//FB Won't compile with VAJ or NO_JIKES //FB Object adapter = adapterFactory.adapt(mapping)","non-negative"
"//TODO: currently broken for unique-key references (does not detect // change to unique key property of the associated object) //the owner of the association is not the owner of the id","negative"
"//TODO: entities CAN be compared, by PK and entity name, fix this!","negative"
"// TODO: does not work for EntityMode.DOM4J yet!","negative"
"//TODO: would be nice to use false, but issues with MS SQL","non-negative"
"//TODO: not really completely correct, since // the uoe could occur while resolving // associations, leaving the PC in an // inconsistent state","negative"
"//TODO: this is kinda inconsistent with CollectionType","negative"
"// does it matter that this doesn't set the type correctly?","non-negative"
"// Jun 9 2004 12:40 PM // waitFor() hangs on some Java // implementations.","negative"
"// Feb 4 2000 5:30 PM // Catch Throwable here rather than Exception. // Kaffe's implementation of Runtime.exec throws java.lang.InternalError.","non-negative"
"// looks bad with the OS X L&F, apparently...","negative"
"/* two plugins provide same class! */","negative"
"// This really should be Long.decode, but there isn't one. As a result, // hex and octal literals ending in 'l' or 'L' don't work.","negative"
"// TODO: Check this result...","non-negative"
"// TODO: don't require pop","non-negative"
"// XXX Wrong, but will have to do for now","negative"
"// FIXME: I got a bunch of NPEs when I didn't check for nulls here...HOW?!","negative"
